"","X","Hasil_GeoHash","LATITUDE","LONGITUDE","Lat_Error","Long_Error","MAG","KEDALAMAN"
"16310",56,"qws1dp",-8.13262939453125,118.218383789062,0.00274658203125,0.0054931640625,2.8,10
"16311",57,"qw6txg",-8.85772705078125,116.361694335938,0.00274658203125,0.0054931640625,2.3,15
"16312",58,"qysk56",-7.72064208984375,129.874877929688,0.00274658203125,0.0054931640625,3.6,150
"16313",59,"qyvrpj",-5.77056884765625,131.445922851562,0.00274658203125,0.0054931640625,4.5,35
"16314",60,"qw6txg",-8.85772705078125,116.361694335938,0.00274658203125,0.0054931640625,2.3,15
"16315",61,"qw6txg",-8.85772705078125,116.361694335938,0.00274658203125,0.0054931640625,2.3,15
"16316",62,"qw6txg",-8.85772705078125,116.361694335938,0.00274658203125,0.0054931640625,2.3,15
"16317",63,"qw6txg",-8.85772705078125,116.361694335938,0.00274658203125,0.0054931640625,2.3,15
"16318",64,"qw6txg",-8.85772705078125,116.361694335938,0.00274658203125,0.0054931640625,2.3,15
"16319",65,"qw6txg",-8.85772705078125,116.361694335938,0.00274658203125,0.0054931640625,2.3,15
"16320",66,"qysk56",-7.72064208984375,129.874877929688,0.00274658203125,0.0054931640625,3.6,150
"16321",67,"qw6txg",-8.85772705078125,116.361694335938,0.00274658203125,0.0054931640625,2.3,15
"16322",68,"qw6txg",-8.85772705078125,116.361694335938,0.00274658203125,0.0054931640625,2.3,15
"16323",69,"qysk56",-7.72064208984375,129.874877929688,0.00274658203125,0.0054931640625,3.6,150
"16324",70,"qw6txg",-8.85772705078125,116.361694335938,0.00274658203125,0.0054931640625,2.3,15
"16325",71,"qws1dp",-8.13262939453125,118.218383789062,0.00274658203125,0.0054931640625,2.8,10
"16326",72,"qpxmef",-1.83197021484375,100.365600585938,0.00274658203125,0.0054931640625,4.4,161
"16327",73,"qpxmef",-1.83197021484375,100.365600585938,0.00274658203125,0.0054931640625,4.4,161
"16328",74,"qysk56",-7.72064208984375,129.874877929688,0.00274658203125,0.0054931640625,3.6,150
"16329",75,"qysk56",-7.72064208984375,129.874877929688,0.00274658203125,0.0054931640625,3.6,150
"16330",76,"qw6txg",-8.85772705078125,116.361694335938,0.00274658203125,0.0054931640625,2.3,15
"16331",77,"qw6txg",-8.85772705078125,116.361694335938,0.00274658203125,0.0054931640625,2.3,15
"16332",1,"qwdbn7",-8.41827392578125,116.647338867188,0.00274658203125,0.0054931640625,2.4,11
"16333",2,"qy2ksv",-9.02252197265625,124.315795898438,0.00274658203125,0.0054931640625,3,10
"16334",3,"qy2ksv",-9.02252197265625,124.315795898438,0.00274658203125,0.0054931640625,3,10
"16335",4,"qy2ksv",-9.02252197265625,124.315795898438,0.00274658203125,0.0054931640625,3,10
"16336",5,"qqqy6s",-8.72039794921875,110.857543945312,0.00274658203125,0.0054931640625,2.7,69
"16337",6,"qwre6j",-9.24224853515625,123.140258789062,0.00274658203125,0.0054931640625,2.2,10
"16338",7,"qy2ksv",-9.02252197265625,124.315795898438,0.00274658203125,0.0054931640625,3,10
"16339",8,"qqs38y",-8.13812255859375,107.265014648438,0.00274658203125,0.0054931640625,4.7,10
"16340",9,"wbh0qn",0.07965087890625,129.644165039062,0.00274658203125,0.0054931640625,5.1,34
"16341",10,"wbh0qn",0.07965087890625,129.644165039062,0.00274658203125,0.0054931640625,5.1,34
"16342",11,"qy2ksv",-9.02252197265625,124.315795898438,0.00274658203125,0.0054931640625,3,10
"16343",12,"qwdbmy",-8.35784912109375,116.625366210938,0.00274658203125,0.0054931640625,2.4,11
"16344",13,"qy2ksv",-9.02252197265625,124.315795898438,0.00274658203125,0.0054931640625,3,10
"16345",14,"qy2ksv",-9.02252197265625,124.315795898438,0.00274658203125,0.0054931640625,3,10
"16346",15,"qqqy6s",-8.72039794921875,110.857543945312,0.00274658203125,0.0054931640625,2.7,69
"16347",16,"qqs38y",-8.13812255859375,107.265014648438,0.00274658203125,0.0054931640625,4.7,10
"16348",17,"qwre6j",-9.24224853515625,123.140258789062,0.00274658203125,0.0054931640625,2.2,10
"16349",18,"wbh0qn",0.07965087890625,129.644165039062,0.00274658203125,0.0054931640625,5.1,34
"16350",19,"qppyvj",-4.40826416015625,101.123657226562,0.00274658203125,0.0054931640625,4.7,37
"16351",20,"qppyvj",-4.40826416015625,101.123657226562,0.00274658203125,0.0054931640625,4.7,37
"16352",21,"qqqy6s",-8.72039794921875,110.857543945312,0.00274658203125,0.0054931640625,2.7,69
"16353",22,"qwdbmy",-8.35784912109375,116.625366210938,0.00274658203125,0.0054931640625,2.4,11
"16354",23,"qqqy6s",-8.72039794921875,110.857543945312,0.00274658203125,0.0054931640625,2.7,69
"16355",24,"qy2ksv",-9.02252197265625,124.315795898438,0.00274658203125,0.0054931640625,3,10
"16356",25,"qwdbn7",-8.41827392578125,116.647338867188,0.00274658203125,0.0054931640625,2.4,11
"16357",26,"qppyvj",-4.40826416015625,101.123657226562,0.00274658203125,0.0054931640625,4.7,37
"16358",27,"qqqy6s",-8.72039794921875,110.857543945312,0.00274658203125,0.0054931640625,2.7,69
"16359",28,"qqqy6s",-8.72039794921875,110.857543945312,0.00274658203125,0.0054931640625,2.7,69
"16360",29,"wbh0qn",0.07965087890625,129.644165039062,0.00274658203125,0.0054931640625,5.1,34
"16361",30,"wbh0qn",0.07965087890625,129.644165039062,0.00274658203125,0.0054931640625,5.1,34
"16362",31,"qqs38y",-8.13812255859375,107.265014648438,0.00274658203125,0.0054931640625,4.7,10
"16363",32,"qydg2u",-7.84149169921875,127.655639648438,0.00274658203125,0.0054931640625,3,200
"16364",33,"wb05v1",0.66741943359375,123.975219726562,0.00274658203125,0.0054931640625,4.4,101
"16365",34,"qqqy6s",-8.72039794921875,110.857543945312,0.00274658203125,0.0054931640625,2.7,69
"16366",35,"qqs38y",-8.13812255859375,107.265014648438,0.00274658203125,0.0054931640625,4.7,10
"16367",36,"qqqy6s",-8.72039794921875,110.857543945312,0.00274658203125,0.0054931640625,2.7,69
"16368",37,"wbh0qn",0.07965087890625,129.644165039062,0.00274658203125,0.0054931640625,5.1,34
"16369",38,"wbh0qn",0.07965087890625,129.644165039062,0.00274658203125,0.0054931640625,5.1,34
"16370",39,"wbh0qn",0.07965087890625,129.644165039062,0.00274658203125,0.0054931640625,5.1,34
"16371",40,"qqqy6s",-8.72039794921875,110.857543945312,0.00274658203125,0.0054931640625,2.7,69
"16372",41,"qydg2u",-7.84149169921875,127.655639648438,0.00274658203125,0.0054931640625,3,200
"16373",42,"qwdbmy",-8.35784912109375,116.625366210938,0.00274658203125,0.0054931640625,2.4,11
"16374",43,"qwdbn7",-8.41827392578125,116.647338867188,0.00274658203125,0.0054931640625,2.4,11
"16375",44,"qwdbn7",-8.41827392578125,116.647338867188,0.00274658203125,0.0054931640625,2.4,11
"16376",45,"qy2ksv",-9.02252197265625,124.315795898438,0.00274658203125,0.0054931640625,3,10
"16377",46,"wbh0qn",0.07965087890625,129.644165039062,0.00274658203125,0.0054931640625,5.1,34
"16378",47,"qqqy6s",-8.72039794921875,110.857543945312,0.00274658203125,0.0054931640625,2.7,69
"16379",48,"wbh0qn",0.07965087890625,129.644165039062,0.00274658203125,0.0054931640625,5.1,34
"16380",49,"wb05v1",0.66741943359375,123.975219726562,0.00274658203125,0.0054931640625,4.4,101
